issue,output,5_1examples,5_2examples,5_3examples,5_4examples,5_5examples,10_1examples,10_2examples,10_3examples,10_4examples,10_5examples,15_1examples,15_2examples,15_3examples,15_4examples,15_5examples
""""""" Hi everyone, does anyone know how to get the mat-error and mat-hit animations? I have made a custom the mat-error and mat-hint like elements and would like to animate them exactly as in material. Thank you. """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
""""""" Question about Observables: If I have Observable A, and things are subscribed to it, is there a way to take Observable B and merge it into A so that all of As subscriptions are notified of the elements in B? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
""""""" Any idea on how to provider a service to two different lazy loaded modules in the best way? It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
""""""" Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? I understand the organizational benefits of having small, laser-focused components, I'm just on the fence about how granular I should be getting. """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
""""""" I have been trying to download the block chain for 10 days. computer has been on for then days with no sucess. this is riduclous. i have send ethereum to a account connected to this mist. it still says that i have 0 ether.........im quessing because the chain is not downloaded......... this is a on going issue. it is sad because this is the main platform. i have not experienced any other issues with second party applications. if anybody has any advice for me please shar share """"""","The sentence """""" computer has been on for then days with no sucess. """""" uses <pattern>with no success</pattern> to indicate that there is something wrong with computer. The answer is YES.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
""""""" Hi, is there any way to detect no router change? I mean situation when user click the same routerLink he is allready in i would like to implement some monkeyPatch for forcing angular 4 router to reinitialize route """"""","The sentence """"""  but it reports no circular dependencies. """""" uses <pattern>reports no JJ NNS</pattern> indicate that ""reports no circular dependencies"" is an undesired behavior. The answer is YES.",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
""""""" hello, i have a problem with named router-outlet, i need to add dialogs in a named router-outlet, but as i heard from github/angular, i can't use lazy loaded modules with auxiliary routes. Is there a way to do that now? """"""","The sentence """""" i can't use lazy loaded modules with auxiliary routes. """""" uses <pattern>i can't VB</pattern> to indicate that there is something wrong with ""lazy loaded modules"". The answer is YES.",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
""""""" Hi, I think there might be a problem in MovingWindowDataSetFetcher. It calls MovingWindowMatrix.windows with flattened and addRotate both set to true. However, I think this causes a problem since a flattened matrix can't be rotated because it fails the isMatrix test. Am i mistaken? """"""","The sentence """""" I think this causes a problem since a flattened matrix can't be rotated because it fails the isMatrix test. """""" uses <pattern>sth can't be VBN</pattern> to indicate that there is something wrong with ""flattened matrix"". The answer is YES.",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
""""""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false);. The indices are all 0. I'm trying to get the index for the glossary I think I found a way. I iterate over the glossary, useindexOf(String word) to get the indices of my words, then usegetWordVector(String word) for the vectors for my words. I then build a map from these two. """"""","The sentence """""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false) """""" uses <pattern>struggling with sth</pattern> to indicate that there is something wrong with ""Nd4j.sortWithIndices"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi, I just used angular 2 with the cli, it's my first try. But server live-reload doesn't work, I always have to cance the server and run it again. Is this some known problem? I tried it in vscode and webstorm. I googled around but could not finde anything. """"""","The sentence """""" But server live-reload doesn't work """""" uses <pattern>sth doesn't work</pattern> to indicate that there is something wrong with ""server live-reload"". The answer is YES.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
""""""" roychri: , can you help me out with sessions. How can I add a variable into session variable which will be available during whole session. Seems like my session variable is getting refreshed when I access any link. Here is my app.js [<-LINK->] roychri: , it's here [<-LINK->] line 23 roychri: , the data variable that added, is not available in other routes. roychri: ok. Let me have a look again Thanks """"""","The sentence """""" the data variable that added, is not available in other routes. """""" uses <pattern>not available in sth</pattern> to indicate that there is something wrong with ""data variable"". The answer is YES.",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
""""""" I am unable to align column using jspdf. Will you please guide what should I modify in this code?  """"""","The sentence """""" I am unable to align column using jspdf. """""" uses <pattern>be unable to VB</pattern> to indicate that the user is getting something wrong. The answer is YES.",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
""""""" Trying to come up with a generic pattern validation directive since none is built in, but running into an issue of only getting the string name of the variable passed to the directive instead of the variable itself... any ideas? """"""","The sentence """""" but running into an issue of only getting the string name of the variable passed to the directive instead of the variable itself """""" uses <pattern>running into an issue of VBG</pattern> to indicate that the user is getting something wrong. The answer is YES.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
""""""" Could anyone help me explain why the following code seems correct, though to me it seems like it's not? [<-CODE->] returning a string here compiles and runs though I tell it that it should be a void method SalathielGenese: that's exactly my point, the code is wrong but it doesn't give me an error to me it seems like a bug  """"""","The sentence """""" the code is wrong but it doesn't give me an error to me it seems like a bug """""" uses an undesired adjective <pattern>wrong</pattern> to indicate that there is something wrong with the code. The answer is YES.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
""""""" Hi! I am seeing some issues with DataVec and the stringToTimeTransform behaviour.  For example,  I tried to output the milliseconds timestamps as produced by the transform on the Basic DataVec Example data (I modified the csv to have entries where month is not only January(i.e. 01). """"""","The sentence """""" I am seeing some issues with DataVec and the stringToTimeTransform behaviour. """""" uses <pattern>VB some issues with sth</pattern> to indicate that there is something wrong with ""DataVec and the stringToTimeTransform"". The answer is YES.",0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
""""""" I have updated my project from angular 8 to angular 9 and it start throwing  errors. Is anyone can help me to understand it? """"""","The sentence """""" I have updated my project from angular 8 to angular 9 and it start throwing errors """""" uses <pattern>start VBG errors</pattern> to show the error which the user is currently encountering. The answer is YES.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
""""""" Is it possible te map users in docker-compose? I have a container that runs aswww-data and I'd like to map this user to my local user so the container can edit files in my workspace """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
""""""" Hello! If I'm looking to test a component that gets a service injected via the constructor, can I just provide a mock for the service itself so that I can focus on the actual component? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" I assume the docker host has a volume to which I have to write the outcomes of a python script inside a docker container. This host volume has to be mounted on the docker container which runs the python script. But how can I get this path of this mounted host volume and put it as a ENV in the docker container? (so that the python script knows where to write its data to) """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hello! I am a bit confused... I am running the same algorithm implemented in Java with ND4J library and implemented in python with numpy. The results are slightly different between those runs when i am using the same data. It depends on the programming language or actually i should invest the problem further? """"""","The sentence """""" The results are slightly different between those runs when i am using the same data. """""" uses an undesired adjective <pattern>different</pattern> to indicate that there is something wrong with ""the results"". The answer is YES.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
""""""" LSTM layers require quite a bit of memory, don't they? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" If I don't use parallel wrapper does model use only one gpu? """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
""""""" hi, all, I want to cache the HTTP POST response by creating my own cache using node_module ""angular-cache"". all the search results didn't, however, explain how to create the object ""cache"" in my service or component. Please could anybody help? """"""","The sentence """""" all the search results didn't, however, explain how to create the object ""cache"" in my service or component. """""" uses <pattern>not explain how to</pattern> to indicate that there is something wrong with ""all the search results"". The answer is YES.",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
""""""" Hi, I have a button and when I click on the button it should redirect to external URL and also the external URL needs to be scrolled [code] It is redirecting, but I wanted the redirected page to scroll. How can I acheive this? """"""","The sentence """""" It is redirecting, but I wanted the redirected page to scroll. """""" uses <pattern>it is VBG, but I wanted sth</pattern> to indicate that ""redirecting"" is an undesired behavior. The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
""""""" Oooph. So I narrowed down my previous Firebase issue to the smallest scope I can... and I'm at a loss. Is there something special about 'some' event listener callbacks that prevents Angular/ReactiveX from seeing changes that are initiated within them? Even though I have a behaviorSubject calling next(updatedData), no update will occur until a heartbeat 'window.setInterval' ticks over. Even if there is literally no code within the interval's callback.  (  ) """"""","The sentence """""" no update will occur until a heartbeat 'window.setInterval' ticks over """""" uses <pattern>no NN will VB</pattern> to indicate that ""no update will occur"" is an undesired behavior. The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
""""""" Anyone knows a good solution to use php-cli and keep the container running it alive? I'm trying to run a micro service (Lumen) by only using php-cli. But the problem is that my container exits by itself. Probably because php-cli is not running a daemon """"""","The sentence """""" But the problem is that my container exits by itself """""" uses <pattern>the problem is that</pattern> to indicate that there is something wrong with ""container"". The answer is YES.",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
""""""" i have now made a new project, in which I've added the mentioned dependency together with a property declartion for the version number and then downloaded nd4s via maven, but it still gives me the same error message for the same code. How do you mean run nd4s? """"""","The sentence """""" but it still gives me the same error message for the same code. """""" uses <pattern>but it still VBZ</pattern> to indicate that there is something wrong with the project. The answer is YES.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
""""""" I receive strange errors inside a docker container. My jvm application writes files to disk and directly call another process with a system call. Is it possible that filesystem isn't synchronized and subprocess tries to read a not flushed file ? SISheogorath: no, same but found the failure. Sorry for not getting back its not realted to docker. """"""","The sentence """""" I receive strange errors inside a docker container. """""" uses <pattern>VB strange errors</pattern> to indicate that there is something wrong with ""jvm application"". The answer is YES.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
""""""" any ideas on how i may be able to find the circular dependency? i tried adding the `--verbose` flag to the ng build command but that didn't really help tried using this tool [link], but it reports no circular dependencies. i've also looked through the code and nothing really stands out """"""","The sentence """"""  but it reports no circular dependencies. """""" uses <pattern>reports no JJ NNS</pattern> indicate that ""reports no circular dependencies"" is an undesired behavior. The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" Hello community, can somebody tell me why i am getting this error while using socketio-client module with flask-socket-io: this error is at my angular app console: WebSocket connection to [LINK] failed: Error during WebSocket handshake: Unexpected response code: 400 """"""","The sentence """""" this error is at my angular app console """""" uses <pattern>error is IN someplace</pattern> indicate where ""this error"" occurs. The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Um... maybe this is a stupid problem but really confuse me. With the progress of regression training, the error becomes bigger and bigger. Did the ""identity"" activation have some special requirements about input? For example, between -1 and 1? thanks first, I will try it hope it can solve the problem The train result is always converge to the mean of  train set output when using ""identity"". It seems the model is just a line. What\'s wrong? I just want to fit a curve. So maybe i stuck into a local minimum value... I am sorry about my words. """"""","The sentence """""" So maybe i stuck into a local minimum value """""" uses <pattern>stuck into sth</pattern> to indicate that the user is having trouble getting ""a local minimum value"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" I am having a strange issue, and I don't know where to start troubleshooting. I have methods that get called to display data on my pages, like looking up a name from an ID. I noticed that the methods are getting called almost constantly, as if the page is constantly being redrawn. Has anyone seen this before? Any ideas on where to start? My project is huge now. I don't know when the problem began. """"""","The sentence """""" I noticed that the methods are getting called almost constantly """""" uses <pattern>I noticed that</pattern> to indicate that there is something wrong with ""the methods"". The answer is YES.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
""""""" Hello,  Can someone help me? I have a service 1 but it turns out that this service is getting too big so I decided to split into several services. Now I have service 1, service 1.1 and service 1.2. Now is better because I was able to split the responsabilities among this services but I would like to expose service 1 only. I don't want that any code other than service 1 to be able to inject service 1.1 and service 1.2. Is this possible? """"""","The sentence """""" I have a service 1 but it turns out that this service is getting too big so I decided to split into several services. """""" uses <pattern>something is getting too JJ</pattern> to indicate that there is something wrong with ""this service"". The answer is YES.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
""""""" Hi All,  i have a trained LSTM serving in production. while doing prediction continously using ""model.output(input)"" suddenly massive amounts of threads are getting created ending up in restarting the server. I am not able to trace the reason. Please enlight me on this Thread counts are suddenly spiking from 100's to 1000's for very few seconds """"""","The sentence """""" suddenly massive amounts of threads are getting created ending up in restarting the server """""" uses <pattern>ending up in VBG</pattern> to indicate that ""restarting the server"" is an undesired behavior. The answer is YES.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
""""""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false);. The indices are all 0. I'm trying to get the index for the glossary I think I found a way. I iterate over the glossary, useindexOf(String word) to get the indices of my words, then usegetWordVector(String word) for the vectors for my words. I then build a map from these two. """"""","The sentence """""" I'm struggling with Nd4j.sortWithIndices(lookup_table.getSyn0().norm2(0), 0, false) """""" uses <pattern>struggling with sth</pattern> to indicate that there is something wrong with ""Nd4j.sortWithIndices"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Dealing with Reactive form... It gets created in the component anew every time the user click ""edit"" with something like this: ``` this.form = this.formBuilder.group(...) ``` In that same `edit` method that creates the form, we have  ``` this.form.statusChanges.subscribe(..) ``` Is this a memory leak?  I.e., every time the user clicks ""edit"", a new form is created and a new subscription is made. The old form should be garbage collected, but what will happen to the subscription? """"""","The sentence """""" Is this a memory leak? """""" uses an error noun phrase<pattern>memory leak</pattern> to indicate that there is something wrong with the code. The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
""""""" How can I change a property of a component in a subscribed event and get it recognized in a *ngIf=""property"" in the template? The event is fired and property is changed but there is no change in frontend. """"""","The sentence """""" The event is fired and property is changed but there is no change in frontend. """""" uses <pattern>there is no NN in</pattern> to indicate that there is something wrong ""in frontend"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" Hello Angular devs, I am stuck with one issue where I have three sections each section has one link which will open the slider with data.. I have another section which has a button and the button click subscribes to the behaviorsubject to trigger the link click event. When I click the button it is subscribing for three times..how to avoid subscribing multiple times? """"""","The sentence """""" I am stuck with one issue where I have three sections each section has one link which will open the slider with data """""" uses <pattern>be stuck with sth</pattern> to indicate that there is something wrong where the user ""have three sections each section has one link which will open the slider with data"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hey guys, I'm really struggling to understand the best way to build docker containers in CI while running db integration tests against it my idea was to try: npm run test as part of the Dockerfile build process - however, I ran into this issue: [<-LINK->] Where I cannot connect to the host's mysql service from my docker build Are there resources where I can learn about this stuff? """"""","The sentence """""" I'm really struggling to understand the best way to build docker containers in CI while running db integration tests against it my idea was to try """""" uses <pattern>struggling to VB</pattern> to indicate that the user is getting trouble in ""build docker containers in CI"". The answer is YES.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
""""""" Is there a guide anywhere on how to figure out what type certain JS functions should be? I find it hard currently to type annotate existing JS code as I am not sure what the types should be. is there any helper tool available for this? I am currently simply reading over the code line by line and trying to understand what it should return and the types of all things, its hard because codebase is also not as documented """"""","The sentence """""" I find it hard currently to type annotate existing JS code as I am not sure what the types should be """""" uses <pattern>find it hard to VB</pattern> to indicate that the user is having trouble in ""type annotate existing JS code"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
""""""" Hi guys just a general question, I'm new to angular and wanted to know, is it ok to access dom elements in your components and manipulate them there, because with ElementRef documentation there is a clause: Permitting direct access to the DOM can make your application more vulnerable to XSS attacks. Carefully review any use of ElementRef in your code. """"""","The sentence """""" Permitting direct access to the DOM can make your application more vulnerable to XSS attacks. """""" uses <pattern>make sth more [undesired adjective]</pattern> to indicate that ""Permitting direct access to the DOM"" is an undesired behavior. The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
""""""" Hey, is there native compiler for typescript? I see that on github compiler is written in typescript, and it takes a lot of time to distribute (and I guess native one would be faster?). By native I mean something written in c++ or c# compiled to dll or exe. """"""","The sentence """""" and it takes a lot of time to distribute """""" uses <pattern>takes a lot of time to VB</pattern> to indicate that spending too much time on ""distribute"" is an undesired behavior. The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" Any suggestions on why template expressions would stop working after updating to Angular 11.1 from 10.x? All of the {{somePropName}} style of interpolations no longer process and just show that text with the brackets and not the value from the property/value/method. """"""","The sentence """""" All of the {{somePropName}} style of interpolations no longer process """""" uses <pattern>no longer VB</pattern> to indicate that there is something wrong with the ""All of the {{somePropName}} style of interpolations"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" I am trying to get an exhaustive switch working in TypeScript. I thought that it was once possible, but this code compiles where I thought it shouldn't... [<-LINK->] """"""","The sentence """""" but this code compiles where I thought it shouldn't """""" uses <pattern>where I thought it shouldn't</pattern> to indicate that there is something wrong with this code. The answer is YES.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
""""""" Hi guys. Just updated my library for Angular 9 / Ivy. But I was really surprised that the size of my demo app had been doubled. From 6MB to 13 MB. I thought Ivy should reduce the size of the apps not make them heavier. """"""","The sentence """""" But I was really surprised that the size of my demo app had been doubled """""" uses <pattern>surprised that</pattern> to indicate that ""the size of my demo app had been doubled"" is an undesired behavior. The answer is YES.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
""""""" I noticed my old word2vec files stopped working, so I made some new ones,  using the writeFullModel function. But it seems the only thing it stores are the vectors, not the words? and loadFullModel also can't load the file the fitted model in the memory works fine, it seems saving it is where the problem is. Should I use writeFullModel, or should I save it in a different way? """"""","The sentence """""" I noticed my old word2vec files stopped working """""" uses <pattern>I noticed … stopped working</pattern> to indicate that there is something wrong with ""old word2vec files"". The answer is YES.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
""""""" so far, the examples related to sequences deal with texts of natural languages (with known delimiters), whereas there are other kind of sequences like DNA sequences, protein sequences with no delimiters. Can you please recommend me the closest example to my issue, to start from. """"""","The sentence """""" protein sequences with no delimiters """""" uses <pattern>with no NNS</pattern> to indicate that there is something wrong with protein sequences. The answer is YES.",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
""""""" Hi got a question regarding Service Worker.  usecase is we want to use a json to determine if the version is upgraded for breaking changes, so the user should update/refresh, but the json gets cached inside the ngsw. how to ignore this?  To include the json file in the build i've added it to the assets inside angular.json. any other solutions? """"""","The sentence """""" so the user should update/refresh, but the json gets cached inside the ngsw. """""" uses <pattern>should VB, but ...</pattern> to indicate that there is something wrong with this json file. The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" I noticed my old word2vec files stopped working, so I made some new ones,  using the writeFullModel function. But it seems the only thing it stores are the vectors, not the words? and loadFullModel also can't load the file the fitted model in the memory works fine, it seems saving it is where the problem is. Should I use writeFullModel, or should I save it in a different way? """"""","The sentence """""" But it seems the only thing it stores are the vectors, not the words? """""" uses <pattern>the only thing it VBZ</pattern> to indicate that only ""vectors"" is an undesired output.  The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" hey guys, is it possible to wrap around the angular material button ? normally its like <button mat-button> Some Text </button> but i want an own component extending it, like <app-button> Some Text </app-button>. I created an component which extends MatButton and added the angular mat-button template to it. but it's not working cause it has no button element because it is app-button... """"""","The sentence """""" but it's not working cause it has no button element because it is app-button """""" uses <pattern>has no NN</pattern> to indicate that the problem is ""no button element"". The answer is YES.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
""""""" Hi, I am training a word2vec model on a preprocessed wiki corpus using popular frameworks like tensorflow, gensim, originalc and dl4j. The issue is that dl4j's vocab size doesn't seem to be matching other framework's vocab size (456,940words for all other frameworks while it is454,022for dl4j formin_count=30). These vocab sizes are consistent across multiple runs on various cloud instances. What could be causing this? Weirdly, dl4j's vocab size matches other frameworks when trained on wiki corpus.Link to [<-LINK->] . """"""","The sentence """""" The issue is that dl4j's vocab size doesn't seem to be matching other framework's vocab size """""" uses <pattern>the issue is that</pattern> to indicate that there is something wrong with ""dl4j's vocab size"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" guys, i have some problem. i build example with facebook login on my website, but i always get error has been block by cors.  i using seperate folder 1. client folder & 2. server folder.  i testing  on my server with running node.js on localhost:3000 and live-server for client on 127.0.0.1:8080. on server i using passport-facebook and i already instal cors(). i already test on postman to facebook login on localhost:3000. but i can't get using on client folder where my folder index.html.  on index.html i using vuejs and axios for Promise based HTTP client for the browser and node.js """"""","The sentence """""" but i always get error has been block by cors. """""" uses <pattern>but i always VBP</pattern> to indicate that the user is getting trouble in ""build example with facebook login on website"". The answer is YES.",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
""""""" Hey, just wondering who I should contact for problems with BTC to ETH transactions in my Ethereum wallet? Basically, I ordered 0.1 Ethereum via Bitcoin in my Ethereum wallet (0.8.9) yesterday. Although the bitcoin transaction was confirmed several hours ago (and currently stands with 36 confirmations), I'm still seeing 0 Ethers in my account. Crab29: Hey, do you have any idea what's happening? """"""","The sentence """"""  I'm still seeing 0 Ethers in my account. """""" uses <pattern>seeing 0 NNS</pattern> to indicate that there is something wrong with the user's account. The answer is YES.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
""""""" I'm trying to use and understand angualr-cli but the AoT compiler ngc.  I created a new project with ng-cli and then tried to compile it with ngc and got a lot of errors.  The errors were on angular source itself """"""","The sentence """""" The errors were on angular source itself """""" uses <pattern>errors were on sth</pattern> to describe where the error occurs. The answer is YES.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
""""""" I'm sure this has been asked plenty before but..... I am a bit of a Javascript and Angular 1.x novice now looking to move to Angular2, do I go with Typescript or Javascript? taking the steep learning curve from v1 - v2 of course """"""",No sentences found to indicate the error or undesired behavior. The answer is NO.,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
