Id,source,issue,ETD_sent,manual_ETD,y_ETD,PS_sent,manual_PS,y_PS
522,angular,does angular2 always want to load references from the root of the app or am i configuring something wrong? does angular2 always want to load references from the root of the app or am i configuring something wrong?,,,0,am i configuring something wrong?,PS_NEG_ADV_ADJ,1
554,angular,"Question about Observables: If I have Observable A, and things are subscribed to it, is there a way to take Observable B and merge it into A so that all of As subscriptions are notified of the elements in B?",is there a way to take Observable B and merge it into A so that all of As subscriptions are notified of the elements in B?,ETD_IS_THERE_QUESTION,1,,,0
572,angular,"Are there performance gains to be had by breaking up a medium size component template into many smaller components w/ inputs for their relevant pieces of data? I understand the organizational benefits of having small, laser-focused components, I'm just on the fence about how granular I should be getting.",I'm just on the fence about how granular I should be getting,ETD_SHOULD,1,,,0
689,angular,"Hi guys, i have a question. I spent more the 4 hrs seraching but nothing. Image this scenario:  how can i get the values of the routes params :id and :name in the UserComponent scope? nop router 2.0.0 rc.1",how can i get the values of the routes params,ETD_CAN_QUESTION,1,,,0
704,angular,XMLHttpRequest cannot load  . Response to preflight request doesn't pass access control check: No 'Access-Control-Allow-Origin' header is present on the requested resource. Origin '  ' is therefore not allowed access. The response had HTTP status code 401 I can do post but not get request why?,,,0,T1: XMLHttpRequest cannot load T2: Response to preflight request doesn't pass access control check: No 'Access-Control-Allow-Origin' header is present on the requested resource.,PS_NEG_AUX_VERB,1
731,angular,"I'm still learning about Observables and recall there is a way for them to act as a Promise (where the other way around can't be said). So, how can I return an Observable like a Promise? nice I recalled correctly, thanks for the note",how can I return an Observable like a Promise?,ETD_CAN_QUESTION,1,,,0
808,angular,"How do I use custom directives in a form?  For example, I've got an SSN input that'll have three inputs that will be combined into a single value and emitted up to the parent as if it were one form input","T1: For example, I've got an SSN input that'll have three inputs that will be combined into a single value and emitted up to the parent as if it were one form input",ETD_FOR_EXAMPLE,1,,,0
863,angular,"I have a service that fetches data form an API. This data is language dependant, and the base URL changes according to the language. How can I make the app work dependant on the language switch? I've implemented a component to switch languages and the main component is aware of these changes. But how do I store the active language value (and where) in order for the service to always fetch it?",T1: in order for the service to always fetch it T2: How can I make the app work dependant on the language switch?,"ETD_IN_ORDER_FOR, ETD_CAN_QUESTION",1,,,0
891,angular,"Can someone help me to implement a very very simple AJAX call in ng-2? I've put up a form which connects to my JSP file that runs on tomcat apache, get data from there and show it in a div inside my angular2 component's html file. Simple, no frills. But not wokring.",,,0,T2: But not wokring,PS_NEG_AUX_VERB,1
926,angular,"Hi All, I am planning to use shadowdom in my application, I have a template builder which has multiple cards with its own template where each template loads its own css and js files. will I be able to execute those js files if i use shadowdom? anyhelp with my question on shadowdom?",T1: I am planning to use shadowdom in my application,ETD_PLAN,1,,,0
930,angular,"Hi all.I have the 2 different components:NavbarComponent,NewsComponent.DashboardComponent is a parent for their.NavbarComponent has a property items: Object[]. How can I put the data from NewsComponent to item so fNavbarComponent?",How can I put the data fromNewsComponenttoitemsofNavbarComponent?,ETD_CAN_QUESTION,1,,,0
1038,angular,"Hi guys, I'm getting ready to launch the first really big angular2 app into prodution, but looking at the javascript timeline, the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot, any ideas?",,,0,"T1: the evaluate script of the whole bundle (300kB gzipped) takes 800ms, compared to the (more or less identical) AngularJS implementation that only took 40ms to evaluate this is quite a lot",PS_ONLY,1
1068,angular,Hi - is there a way to wait for element to be present in angular2. I useng AfterViewInit() for the initial load which works fine. But after user interaction the element goes away and is recreated based on new data...at this point angular does not know the element exists or not right now i have resorted tosetTimeout() which I don't like there must be a angular way,is there a way to wait for element to be present in angular2.,ETD_IS_THERE_QUESTION,1,T1: at this point angular does not know the element exists or not right now i have resorted tosetTimeout() which I don't like,PS_NEG_AUX_VERB,1
1083,angular,Anyone know a good way to create an authentication service to grant the user access to specific route paths only based on some logic? I guess@DzmitryShylovichwill knows the answer as usual Great presentation yesterday@kara:),Anyone know a good way to create an authentication service to grant the user access to specific route paths only based on some logic?,ETD_IS_THERE_QUESTION,1,create an authentication service to grant the user access to specific route paths only based on some logic?,PS_ONLY,1
1155,angular,"Hi all, is it possible for components to register to a FormGroup? From what I understand \'form\' must be instantiated in <form [formGroup]=""form"">. However, at that time I do not know what form elements will be created.","From what I understand \'form\' must be instantiated in <form [formGroup]=""form"">.",ETD_MUST,1,"T1: However, at that time I do not know what form elements will be created",PS_NEG_AUX_VERB,1
1185,angular,"I'm trying to have a dynamically loaded component get content from a <ng-content> I get  which is normal from what I understood, but I don't see how I could do this correctly. Would somebody have a clue ?",T1: I'm trying to have a dynamically loaded component get content from a <ng-content>,ETD_TRYING_TO,1,T2: but I don't see how I could do this correctly,PS_NEG_AUX_VERB,1
1188,angular,"Type MeetingItemComponent is part of the declarations of 2 modules: DashboardModule and ClientsModule!why is this a problem? uh, so when I want to use it in multiple places I have to create a module for it? that's new, so every component needs a module?",T1: when I want to use it in multiple places,ETD_WANT_TO,1,,,0
1189,angular,"Hi guys, can anyone give me a hint on how to check if the ngContent part of a Component contains a special tag. I have a template like this:        Ah, just realized that the string passed to ContentChild is refering to a local template variable... so is it even possible to inject elements by CSS-Selector into the component?",so is it even possible to inject elements by CSS-Selector into the component?,ETD_BE_POSSIBLE_TO,1,,,0
1244,angular,"anybody deal with safari and gzipping? On chrome/firefox, it appears to get the gzipped file, but on Safari it seems to be receiving the uncompressed file. I've got my complete app down to 180KB, but it's transferring like 1MB in Safari :( . Using express server.",,,0,,,0
1275,angular,Would some kind person be able to try npm install and npm start on this site? I'm trying to set up the webpack angular2 example from the docs but I keep getting an exception and I'm wondering if it's linked to my node installation since I've been over everything and compared to the docs many times  Docs are at,T1: I'm trying to set up the webpack angular2 example from the docs,ETD_TRYING_TO,1,T2: but I keep getting an exception,PS_VERB_ERROR,1
1314,angular,"I am getting the strangest error, I have everything configured as shown in the angular quick start.  I keep getting this error GET http://localhost:3000/node_modules/@angular/core/bundles/core.umd.js/src/metadata/directives 404 (Not Found) Why does it add src/metadata/directives to the end?",,,0,T1: I keep getting this error,PS_VERB_ERROR,1
1364,angular,I'm trying to use and understand angualr-cli but the AoT compiler ngc.  I created a new project with ng-cli and then tried to compile it with ngc and got a lot of errors.  The errors were on angular source itself  e.g.:Error at C:/Projects/Angular2/ng2-cli-test/node_modules/@angular/core/src/di/reflective_provider.d.ts:88:165: Cannot find name 'Map'.Error at C:/Projects/Angular2/ng2-cli-test/node_modules/@angular/core/src/facade/lang.d.ts:12:17: Cannot find name 'Map'.What gives?,T1: I'm trying to use and understand angualr-cli,ETD_TRYING_TO,1,The errors were on angular source itself,"PS_VERB_ERROR,PS_ERROR_NOUN_PHRASE,PS_ERROR_OCCUR,PS_NEG_AUX_VERB",1
1425,angular,"Hi guys, a quick question: how to use global SCSS variables in angular2? I've created a shared 'vars.scss' file, but know I had to import in every single component to have it avaliable? I hope there's a better solution",but know I had to import in every single component to have it avaliable,ETD_HAVE_TO,1,,,0
1448,angular,"I need to place components somewhere in the DOM, how many and where can only be determined at runtime. It appears to me that@angular/core/ComponentFactory is the right class, but I don't know how to use it",T1: I need to place components somewhere in the DOM,ETD_NEED_TO,1,T2: but I don't know how to use it,PS_NEG_AUX_VERB,1
1461,angular,"I am trying to work this example [  ] out in my application which has a similar line of pages. I can go from my login page which loads in the app component to the ReportList  page which loads in the report component. However, I get this error: Uncaught (in promise): Template parse errors:Can\'t bind to \'value\' since it isn\'t a known property of \'md-progress-bar\'.If \'md-progress-bar\' is an Angular component and it has \'value\' input, then verify that it is part of this module.\nIf \'md-progress-bar\' is a Web Component then add ""CUSTOM_ELEMENTS_SCHEMA"" to the \'@NgModule.schema\' of this component to suppress this message.",T1: I am trying to work this example [  ] out in my application which has a similar line of pages.,ETD_TRYING_TO,1,"T2: However, I get this error: Uncaught (in promise): Template parse errors","PS_VERB_ERROR,PS_ERROR_NOUN_PHRASE",1
1493,angular,"I have a question for y'all about services. Do you tend to split your services out per data object? For example - if I have a component that will need to interact with a certain set of objects, should I create a separate service for each object, or just bundle them all into the same service?",T1: if I have a component that will need to interact with a certain set of objects,"ETD_FOR_EXAMPLE,ETD_NEED_TO",1,,,0
1658,angular,"Hey guys, I'm trying to get a reference to a RouterLinkActive on a link which as a ngIf on it. I have tried@ViewChild(RouterLinkActive) and@ViewChildren(RouterLinkActive) but that does not seem to work. Any ideas?",T1: I'm trying to get a reference to a RouterLinkActive on a link which as a ngIf on it.,ETD_TRYING_TO,1,T3: but that does not seem to work.,PS_SEEMS_TO_NEG_VERB,1
1660,angular,How do I set a property of a component with data that is only available only afterngAfterViewInitwithout having the dev mode errorExpression has changed after it was checked? Let's say I want to set the width of some child element in a property? Setting it in asetTimeout0 doesn't seem clean to me,T1: I want to set the width of some child element in a property,ETD_WANT_TO,1, with data that is only available only afterngAfterViewInitwithout having the dev mode errorExpression has changed after it was checked,PS_ONLY,1
1693,angular,"Hello! Could you please tell me what is the best way to reload component? I tried to navigate to the same route but it doesn't work:this.router.navigate(%path%, { queryParams: {} });I'm using latest version of angular (2.2.1)",T1: I tried to navigate to the same route,ETD_TRYING_TO,1,T2: but it doesn't work:this.router.navigate,PS_NEG_AUX_VERB,1
1721,angular,"Hi, I just used angular 2 with the cli, it's my first try. But server live-reload doesn't work, I always have to cance the server and run it again. Is this some known problem? I tried it in vscode and webstorm. I googled around but could not finde anything.",I always have to cance the server and run it again,ETD_HAVE_TO,1,T1: But server live-reload doesn't work,PS_NEG_AUX_VERB,1
1788,angular,"Does anyone know if it is possible to make a path mapping for the type script compiler. ie: notimport {Foo} from ""./relative/path/foo""butimport {Foo} from ""foo"". BTW: I use node resolution strategy and do not want to create separate node modules ?",T1: Does anyone know if it is possible to make a path mapping for the type script compiler T2: do not want to create separate node modules,"ETD_BE_POSSIBLE_TO,ETD_WANT_TO",1,,,0
1875,angular,"If I use changeDetectorRef.detectChanges(), does that trigger change detection throughout the whole change detection tree or is it just the  component that calls the method and all of that component's children?",,,0,,,0
1948,angular,How are Angular Components recognized and bootstrapped? I have a thirdparty js library which is manipulating the DOM inside of a component and I would like child components to be recognized and registered (as well as removed cleanly).,T1: I would like child components to be recognized and registered (as well as removed cleanly),ETD_WOULD_LIKE,1,,,0
2018,angular,There's an option in angular-cli--extract-css What's the pro/const ? i think we're supposed to use that in dev so our JS is not compiled again and again if we're just touching the SCSS for example. But what about prod ? Is it better to have styles in js or css ?,T1: i think we're supposed to use that in dev so our JS is not compiled again and again if we're just touching the SCSS for example. T2: Is it better to have styles in js or css ?,"ETD_SUPPOSED_TO,ETD_BETTER_TO",1,i think we're supposed to use that in dev so our JS is not compiled again and again if we're just touching the SCSS for example.,"PS_NEG_AUX_VERB,PS_NEG_AUX_ADV_ADJ,",1
2095,angular,"Oooph. So I narrowed down my previous Firebase issue to the smallest scope I can... and I'm at a loss. Is there something special about 'some' event listener callbacks that prevents Angular/ReactiveX from seeing changes that are initiated within them? Even though I have a behaviorSubject calling next(updatedData), no update will occur until a heartbeat 'window.setInterval' ticks over. Even if there is literally no code within the interval's callback.  (  )","Even though I have a behaviorSubject calling next(updatedData), no update will occur until a heartbeat 'window.setInterval' ticks over.",ETD_SHOULD,1,"T1: Even though I have a behaviorSubject calling next(updatedData), no update will occur until a heartbeat 'window.setInterval' ticks over.","PS_NO_NOUN,PS_VERB_TO_BE_NEGATIVE",1
2222,angular,"Hi All,  I'm trying to reference a component by name without having to import that component into my class.  For example I want to get a reference to ComponentA, but without having to define import {ComponentA} from...Is this possible ?",T1: I'm trying to reference a component by name without having to import that component into my class. T2: For example I want to get a reference to ComponentA,"ETD_TRYING_TO,ETD_FOR_EXAMPLE,ETD_WANT_TO",1,,,0
2227,angular,"I get a Can't resolve all parameters for HeaderRendererComponent: (?, [object Object]).error message, but the missing component is declared in the same module, and setting a breakpoint before the crash shows that it is at least already in the directiveCache  of the CompileMetadataResolve. Anyone an idea on how to debug the cause for that? :/",,,0,"T1: I get a Can't resolve all parameters for HeaderRendererComponent: (?, [object Object]).error message",PS_NEG_AUX_VERB,1
2228,angular,"Hello! New to ng2, i am using the cli and everytime I use it to create a component it also adds it to the app.module.ts declarations array. Do I have to do that for every single component? Nope, Guess i just want to know more about it",T1: i am using the cli and everytime I use it to create a component it also adds it to the app.module.ts declarations array,ETD_USED_TO,1,,,0
2229,angular,I was wondering: Is it considered bad style to use setTimeout to wait for the changeDetection cycle (or in my case the reactive form to register the change) before callingupdateValueAndValidityfor another control?,Is it considered bad style to use setTimeout to wait for the changeDetection cycle (or in my case the reactive form to register the change) before callingupdateValueAndValidityfor another control?,ETD_USED_TO,1,Is it considered bad style to use setTimeout to wait for the changeDetection cycle,PS_NEG_ADV_ADJ,1
2236,angular,"I am moving from Java and .Net on the backend too looking at Node with an Angular 2 front end. Since I am planning on using the Angular CLI, Webpack package. Has anyone integrated this template with the server side, connect to a database and provide a descent example? instead of having the ngFor on its own element, have you placed it as a attribute on the other elements? So it is not in the resulting DOM structure which interferes with the CSS","T1: Since I am planning on using the Angular CLI, Webpack package. T2: instead of having the ngFor on its own element","ETD_PLAN,ETD_INSTEAD_OF_EXP_BEHAVIOR",1,T2: So it is not in the resulting DOM structure which interferes with the CSS,PS_NOT_IN,1
2242,angular,"question about using Modernizr in Angular 2. I downloaded the js file and included it in my index.html. I am not importing it into my component. Able to test the Modernizr.adownload property. However, getting a build error --> TS2304: Cannot find name 'Modernizr'.",,,0,"T1: However, getting a build error --> TS2304: Cannot find name 'Modernizr'.",PS_VERB_ERROR,1
2248,angular,"guys here is a rough outer view of I am trying to achieve (may be my drawing is not that good) but in the view I have a static components for the links except one,  so how I achieve it any guidelines?? link-->",T1: a rough outer view of I am trying to achieve (may be my drawing is not that good),ETD_TRYING_TO,1,I am trying to achieve (may be my drawing is not that good) but in the view I have a static components for the links except one,PS_ETD_TRY,1
2354,angular,What is the best practice when using feature modules that require other feature modules ? Should globally used modules be imported in the root module alone or should they be included as dependency of the feature modules as well ?,,,0,,,0
2378,angular,"Hi to all.  I'm starting with Angular and I'm planning to develop a UI frontend for a Rest Backend.  I was looking into UI frameworks for Angular 2 and found:  I would like to ask if any have experience with it and how it goes, or perhaps if you have a better recommendation it will be appreciated. thanks in advance",T1: I'm planning to develop a UI frontend for a Rest Backend.,ETD_PLAN,1,,,0
2446,angular,"How can I change a property of a component in a subscribed event and get it recognized in a *ngIf=""property"" in the template? The event is fired and property is changed but there is no change in frontend.","How can I change a property of a component in a subscribed event and get it recognized in a *ngIf=""property"" in the template?",ETD_CAN_QUESTION,1,T1: The event is fired and property is changed but there is no change in frontend,PS_VERB_TO_BE_NEGATIVE,1
2487,angular,I am trying to bundle and host my app with AOT. Everything is compile and Worked Routing also properly work. But My Component is not initiated. I am facing this problem in AOT non lazy loading. My App working properly in JIT. Please any one suggest me!!!,T1: I am trying to bundle and host my app with AOT,ETD_TRYING_TO,1,T2: But My Component is not initiated T3: I am facing this problem in AOT non lazy loading,"PS_NEG_AUX_VERB,PS_PROBLEM",1
2495,angular,"Is there a way to force the router to navigate to the same url the user is already on when clicking arouterLink? eg: User is on page /orders and clicks the /orders link again,  the page navigates again?",T1: eg: User is on page /orders and clicks the /orders link again T2: Is there a way to force the router to navigate to the same url the user is already on when clicking arouterLink?,"ETD_FOR_EXAMPLE,ETD_IS_THERE_QUESTION",1,,,0
2611,angular,"guys, can somebody help me w/ chained resolvers? What is a proper approach to chain resolves? e.g. a components needs result from resolverA; resolverA builds a query depending on a result from resolverB.(  )",T1: e.g. a components needs result from resolverA,ETD_FOR_EXAMPLE,1,,,0
2633,angular,"Hey, I'm having trouble finding any documentation on ngContent. Does anybody know if this is intentional or just hasn't been written yet? I'm wondering if it might maybe be called something else or maybe is being phased out?",,,0,T1: I'm having trouble finding any documentation on ngContent,PS_PROBLEM,1
2640,angular,"Is there a way I can force Angular's dependency injector to create a new instance of a service every time it's injected? I know I could just specify it as a provider on every component that uses it, but this is for a library and I'd like to be able to hide that detail from users",T1: I'd like to be able to hide that detail from users T2: Is there a way I can force Angular's dependency injector to create a new instance of a service every time it's injected?,"ETD_WOULD_LIKE,ETD_IS_THERE_QUESTION",1,,,0
2699,angular,Anyone could help me understand why I still need to provide the service in app.component.ts even if it's already provided in app.module.ts? Because I'm encountering this issue on running a test Failed: No provider for PostService!,,,0,T1: I'm encountering this issue on running a test Failed: No provider for PostService,"PS_PROBLEM,PS_ERROR_NOUN_PHRASE",1
2715,angular,"Anyone knows how to make a validator that depends on a previous field value to ignore validation? basically i have a form to setup a request, if one field has value 'GET' then the other should not matter, while if the field has value 'POST' the other should validate as required and with certain pattern.","basically i have a form to setup a request, if one field has value 'GET' then the other should not matter, while if the field has value 'POST' the other should validate as required and with certain pattern.","ETD_NORMALLY,ETD_SHOULD",1,,,0
2748,angular,Is  there a good way to change the text of an angular shell (app.component template) from another component? I have my nav located in the app.component and I want to change the text of a back button in the nav from each component,T1: I want to change the text of a back button in the nav from each component,ETD_WANT_TO,1,,,0
2792,angular,"i'm getting a compile error that doesn't make any sense in trying to pass an object as a parameter to a method: ""Argument of type 'X' is not assignable to paremeter of type 'X'. Property 'address' is missing in type 'X'"". Does anyone know what might cause this?",T1: trying to pass an object as a parameter to a method,ETD_TRYING_TO,1,"T2: Property 'address' is missing in type 'X'"" T3: i'm getting a compile error that doesn't make any sense T4: ""Argument of type 'X' is not assignable to paremeter of type 'X'. Property 'address' is missing in type 'X'"".","PS_VERB_ERROR,PS_NEG_AUX_ADV_ADJ,PS_NEG_VERB",1
2795,angular,how does diff of two arrays work in the template? what happens if I delete an item from the array or replace the index of two items? does the template re-render all items or does it know to just replace them in the html? when using *ngFor,,,0,,,0
2957,angular,"I have two questions about the use of Angular-cli. How do you add images link on Html, and as a background image, with angular-cli. I do it as pure html/css with angular, but it seems not work with angular-cli",,,0,"T1: I do it as pure html/css with angular, but it seems not work with angular-cli",PS_NEG_AUX_VERB,1
2988,angular,"Hi, is there any way to detect no router change? I mean situation when user click the same routerLink he is allready in i would like to implement some monkeyPatch for forcing angular 4 router to reinitialize route",T1: i would like to implement some monkeyPatch for forcing angular 4 router to reinitialize route,ETD_WOULD_LIKE,1,,,0
2991,angular,"Hi all, Does anybody have example code for how to create a component library for Angular ?  Ideally I would like to create a library for my components where the view code is not embeded within the component source i.e. remains in separate HTML files. It would also be good to be able to have a test site that can be run up from the component library to view the created components.",T1: I would like to create a library for my components where the view code is not embeded within the component source i.e. remains in separate HTML files T2: It would also be good to be able to have a test site that can be run up from the component library to view the created components,"ETD_WOULD_LIKE,ETD_WOULD_BE",1,,,0
3046,angular,"Hello guys !I'm wondering about the ngClass uses.  And in my component I want to say if colorSubtitle exists so you apply it value at the element in question. This is my try, but it doesn't work:  Anyidea how to do that ? :) thank you",T1: And in my component I want to say if colorSubtitle exists so you apply it value at the element in question,ETD_WANT_TO,1,"This is my try, but it doesn't work","PS_NEG_AUX_VERB,PS_ETD_TRY,",1
3083,angular,"Hi guys, im using ngtools/webpack and come across an issue where it said Calling function 'RouteUltility', function calls are not supported. Consider replacing the function or lambda with a reference to an exported function, resolving symbol routes",Consider replacing the function or lambda with a reference to an exported function,ETD_CONSIDER_ACTION,1,"T1: come across an issue where it said Calling function 'RouteUltility', function calls are not supported","PS_PROBLEM,PS_NEG_AUX_VERB",1
3102,angular,"I'm trying to use TemplateRef, but I'm getting a message from typescript that TemplateRef requires a type, but I don't know what sort of type it's expecting? I'm passing <any>, but I kinda wanna know what it should be getting?",T1: I'm trying to use TemplateRef,ETD_TRYING_TO,1,T2: but I don't know what sort of type it's expecting,PS_NEG_AUX_VERB,1
3109,angular,"Hello guys, I am new to angular and now I am wondering. If I want to create a model like User() that I can instantiate with new: Is there a naming convention (like services: users.services.ts)? Should I use a special folder?",T1: If I want to create a model like User() that I can instantiate with new,ETD_WANT_TO,1,,,0
3155,angular,I will be grateful if you could take a look on this topic -  I am going to create chatbot using websockets in Angular2 however I have a problem with ERROR TypeError: Cannot read property 'emit' of undefined,T1: I am going to create chatbot using websockets in Angular2,ETD_GOING_TO,1,T2: however I have a problem with ERROR TypeError: Cannot read property 'emit' of undefined,"PS_PROBLEM,PS_ERROR_NOUN_PHRASE",1
3208,angular,"Has anyone here gotten gigantic call stacks on router navigation (Lots of Subscriber.next, FirstSubscriber, FirstOperator.call, etc.)?  I checked on angular.io and they don't have that problem with their router initial navigation",,,0,,,0
3214,angular,"If I don't know what URL my application will be hosted at until it starts running, what is the list of ""things"" that should be set at run-time knowing that my API path will always be hosted at the same URL and all relative URLs within the application will be valid? BaseHref, anything else? I'm almost certain that the proxy's custom JavaScript injection is causing the problem, but I want to cover my bases.",T2: but I want to cover my bases,ETD_WANT_TO,1,T1: I'm almost certain that the proxy's custom JavaScript injection is causing the problem T2: If I don't know what URL my application will be hosted at until it starts running,"PS_VERB_ERROR, PS_NEG_AUX_VERB",1
3236,angular,"Hi! I want to remove a class from a div and add a class in another div. I could do that with jQuery, but where do I insert the script with angular?  navbar.component.html is the template where I want to change classes for a navbar (active) and index.html is my current status but it does not work.",T1: I want to remove a class from a div and add a class in another div,ETD_WANT_TO,1,T2: but it does not work,PS_NEG_AUX_VERB,1
3242,angular,"hi, all, I want to cache the HTTP POST response by creating my own cache using node_module ""angular-cache"". all the search results didn't, however, explain how to create the object ""cache"" in my service or component. Please could anybody help?","T1: I want to cache the HTTP POST response by creating my own cache using node_module ""angular-cache""",ETD_WANT_TO,1,"T2: all the search results didn\'t, however, explain how to create the object ""cache"" in my service or component",PS_NEG_AUX_VERB,1
3277,angular,Any idea on how to provider a service to two different lazy loaded modules in the best way? It is funny in some places (stackeroverflow) guys are saying that having services in a shared module is bad practice and others say it is the right way :D,,,0,,,0
3313,angular,"Hello everyone,do you know if there is a way to translate the attributes of an interface from english to german/ german to german(I mean if there is already an attribute,which name is in german)? I have managed to translate some of them, but the others are attributes are already in german or shortcuts. But I need them to be named this way, because I have a database table and I want to keep the name of the interface's attributes same as the table's columns. Hope this makes sense.","T1: But I need them to be named this way, because I have a database table and I want to keep the name of the interface's attributes same as the table's columns","ETD_NEED_TO,ETD_WANT_TO",1,"T2: I have managed to translate some of them, but the others are attributes are already in german or shortcuts",PS_BUT_RB,1
3519,angular,"Hi guys just a general question, I'm new to angular and wanted to know, is it ok to access dom elements in your components and manipulate them there, because with ElementRef documentation there is a clause: Permitting direct access to the DOM can make your application more vulnerable to XSS attacks. Carefully review any use of ElementRef in your code.",is it ok to access dom elements in your components and manipulate them there,ETD_BE_POSSIBLE_TO,1,T1: Permitting direct access to the DOM can make your application more vulnerable to XSS attacks,PS_MAKE_NEG_ADV,1
3553,angular,"Is there anyone here dealing with a hybrid app? I love the view encapsulation of Angular, and I would be very happy to use the global AngularJS style sheets only on the AngularJS components. But... the hybrid tag is an directive tag which can't contain styleUrls :(",T1: I would be very happy to use the global AngularJS style sheets only on the AngularJS components,ETD_WOULD_BE,1,T2: the hybrid tag is an directive tag which can't contain styleUrls,PS_NEG_AUX_VERB,1
3639,angular,"i have an array filter in a subscribe block. i can console log a variable in the subscribe above my filter, but i'm getting undefined errors for the same variable in the filter block. anyone have an idea why?",,,0,T1: but i'm getting undefined errors for the same variable in the filter block,PS_PROBLEM,1
3733,angular,I'm trying to get an input field to change type if the length of the input is greater than 0 but it looks like I'm not binding correctly to the field? Does anyone have a suggestion on how to improve this?,T1: I'm trying to get an input field to change type if the length of the input is greater than 0,ETD_TRYING_TO,1,T2: but it looks like I'm not binding correctly to the field,PS_NEG_AUX_VERB,1
