Tag,Corrected,Count
adxstudio-portals,,54
adyen,,99
aem,,722
aem-6,,115
aero,,159
aero-glass,,100
aeron,,53
aerospike,,129
aes,,835
aescryptoserviceprovider,,53
aes-gcm,,122
aeson,,115
aesthetics,,101
aether,,79
affdex-sdk,,75
affiliate,,108
affinetransform,,119
affinity,,129
affix,,99
afhttprequestoperation,,73
afnetworking,,362
afnetworking-2,afnetworking,137
afnetworking-3,afnetworking,115
aforge,,131
afp,,111
aframe,,345
after-effects,,118
after-save,,63
ag,,99
against,,62
agal,,51
agda,,164
agenda,,61
agens-graph,,95
agent,,270
agent-based-modeling,,141
agents,,99
agents-jade,,129
aggregate,,482
aggregate-functions,,394
aggregate-initialization,,103
aggregateroot,,122
aggregates,,101
aggregation,,282
aggregation-framework,,455
aggregator,,79
ag-grid,,414
ag-grid-angular,,154
ag-grid-ng2,,102
ag-grid-react,,135
ag-grid-vue,,64
agi,,102
agile,,640
agile-project-management,,62
agiletoolkit,,66
aginity,,69
agora.io,,261
agora-web-sdk-ng,,99
agrep,,73
agsxmpp,,58
ahoy,,51
aide-ide,,80
aidl,,120
aif,,84
aiml,,100
aio,,102
aiogram,,99
aiohttp,,128
air,,836
airbrake,,88
airconsole,,60
aircrack-ng,,64
airdrop,,82
airflow,,810
airflow-2.x,airflow,182
airflow-scheduler,,132
airflow-webserver,,54
air-native-extension,,106
airplane-mode,,90
airplay,,194
airport,,248
airport-extreme,,68
airprint,,103
airtable,,100
airwatch,,93
aix,,293
ajax,,7743
ajax.beginform,,101
ajax.net,,95
ajax4jsf,,114
ajaxcontroltoolkit,,309
ajaxform,,121
ajax-polling,,77
ajax-request,,99
ajax-upload,,99
ajdt,,50
ajp,,107
ajv,,99
akamai,,117
akavache,,61
akeneo,,99
akka,,1190
akka.net,,208
akka.net-cluster,,66
akka-actor,,101
akka-cluster,,140
akka-http,,175
akka-persistence,,102
akka-remote-actor,,97
akka-stream,,194
akka-supervision,,91
akka-testkit,,99
akka-typed,,106
alamofire,,422
alamofireimage,,101
alarm,,201
alarmmanager,,436
alarms,,57
alasql,,100
alasset,,104
alassetslibrary,,155
albumart,,98
album-art,,55
alchemy,,99
alchemyapi,,99
aleagpu,,76
alembic,,152
alert,,431
alertify,,79
alertifyjs,,59
alerts,,142
alertview,,70
alexa,,440
alexa-app,,106
alexa-skill,,265
alexa-skills-kit,,304
alexa-slot,,101
alexa-voice-service,,125
alfa,,78
alfred,,57
alfresco,,657
alfresco-enterprise,,85
alfresco-share,,191
alfresco-webscripts,,120
algebra,,152
algebraic-data-types,,146
algolia,,231
algorithm,,11568
algorithm-analysis,,84
algorithmic-trading,,269
algorithms,,483
alias,,550
aliases,,104
alibaba-cloud,,121
alibaba-cloud-ecs,,54
alienware,,73
alignment,,628
alivepdf,,53
allegro,,109
allegro5,,103
allegrograph,,67
allennlp,,112
alljoyn,,99
alloc,,104
alloca,,76
allocation,,167
allocator,,135
alloy,,119
alloy-ui,,100
allure,,153
alluxio,,79
alm,,149
aloha-editor,,76
alpacajs,,78
alpakka,,102
alpha,,295
alphabet,,107
alpha-beta-pruning,,111
alphabetical,,138
alphabetical-sort,,100
alphablending,,149
alphanumeric,,131
alpha-transparency,,122
alpha-vantage,,102
alpine,,64
alpine.js,,159
alpine-linux,,226
alpn,,52
alsa,,424
alt,,124
altair,,136
altbeacon,,175
alter,,139
alter-column,,51
alternate,,115
alternating,,84
alternative,,95
alternative-functor,,67
alternative-php-cache,,94
alter-table,,175
alteryx,,102
altitude,,91
altova,,92
alt-tab,,69
alu,,100
alv,,109
always-encrypted,,106
alwayson,,106
always-on-top,,107
amadeus,,105
amarok,,57
amavis,,100
amazon,,522
amazon-ami,,189
amazon-api-gateway,,111
amazon-appstore,,99
amazon-athena,,247
amazon-aurora,,185
amazon-cloudformation,,731
amazon-cloudfront,,431
amazon-cloudsearch,,100
amazon-cloudtrail,,105
amazon-cloudwatch,,548
amazon-cloudwatch-events,,51
amazon-cloudwatchlogs,,175
amazon-cloudwatch-metrics,,100
amazon-cognito,,571
amazon-cognito-triggers,,52
amazon-comprehend,,51
amazon-connect,,111
amazon-data-pipeline,,108
amazon-dynamodb,,1158
amazon-dynamodb-dax,,69
amazon-dynamodb-index,,101
amazon-dynamodb-local,,63
amazon-dynamodb-streams,,113
amazon-ebs,,178
amazon-ec2,,3657
amazon-echo,,89
amazon-ecr,,150
amazon-ecs,,488
amazon-efs,,117
amazon-eks,,556
amazon-elasticache,,143
amazon-elastic-beanstalk,,615
amazon-elastic-ip,,90
amazon-elasticsearch,,105
amazon-elastic-transcoder,,99
amazon-elb,,244
amazon-emr,,369
amazon-fire-tv,,101
amazon-glacier,,105
amazon-iam,,563
amazon-kcl,,69
amazon-keyspaces,,86
amazon-kinesis,,252
amazon-kinesis-analytics,,71
amazon-kinesis-firehose,,126
amazon-kms,,108
amazon-lambda,,87
amazon-lex,,152
amazon-lightsail,,125
amazon-linux,,110
amazon-linux-2,amazon-linux,112
amazon-mq,,88
amazon-mws,,132
amazon-neptune,,205
amazon-pay,,76
amazon-personalize,,69
amazon-policy,,64
amazon-polly,,100
amazon-product-api,,107
amazon-qldb,,92
amazon-quicksight,,148
amazon-rds,,593
amazon-rds-proxy,,50
amazon-redshift,,482
amazon-redshift-spectrum,,104
amazon-rekognition,,104
amazon-route53,,265
amazon-s3,,4153
amazon-s3-select,,59
amazon-sagemaker,,268
amazonsellercentral,,50
amazon-ses,,251
amazon-simpledb,,115
amazon-sns,,210
amazon-sqs,,358
amazon-swf,,101
amazon-systems-manager,,58
amazon-textract,,102
amazon-timestream,,88
amazon-vpc,,398
amazon-waf,,102
amazon-web-services,,15033
amazon-workspaces,,74
ambari,,180
ambassador,,70
ambiance,,60
ambient,,56
ambiguity,,127
ambiguous,,142
ambiguous-call,,93
ambiguous-grammar,,99
amcharts,,279
amcharts4,,116
amd,,208
amd-catalyst,,81
amdgpu,,94
amd-gpu,,59
amdgpu-pro,,61
amd-graphics,,184
amd-graphics-card,,80
amd-processor,,154
amd-radeon,,233
amd-ryzen,,149
amf,,131
amfphp,,105
amibroker,,50
ammap,,72
ammonite,,59
amortized-analysis,,99
amp-email,,61
ampersand,,121
amp-html,,291
ampl,,129
amplify,,130
amplifyjs,,99
amplitude,,99
ampps,,98
ampscript,,77
amq,,57
amqp,,392
amr,,98
amz-sp-api,,65
anaconda,,899
anaconda3,,133
anacron,,60
anagram,,103
analysis,,317
analytical,,63
analytic-functions,,101
analytics,,645
analytics.js,,66
analyzer,,160
ancestor,,102
ancestry,,101
anchor,,358
anchorpoint,,57
anchor-scroll,,93
anchor-solana,,109
andengine,,244
and-operator,,75
android,,115956
android.mk,,102
android-10.0,android,235
android-11,android,245
android-12,android,177
android-2.1-eclair,,87
android-2.2-froyo,,186
android-2.3-gingerbread,,122
android-3.0-honeycomb,,177
android-4.0-ice-cream-sandwich,,329
android-4.2-jelly-bean,,196
android-4.3-jelly-bean,,102
android-4.4-kitkat,,178
android-5.0-lollipop,,325
android-5.1.1-lollipop,,115
android-6.0-marshmallow,,281
android-7.0-nougat,,210
android-7.1-nougat,,107
android-8.0-oreo,,275
android-8.1-oreo,,108
android-9.0-pie,,189
android-account,,79
android-actionbar,,668
android-actionbaractivity,,97
android-actionbar-compat,,117
android-actionmode,,107
android-activity,,2094
android-adapter,,276
android-adapterview,,102
android-alarms,,177
android-alertdialog,,381
android-animation,,473
android-annotations,,114
android-anr-dialog,,111
android-api-levels,,120
android-appbarlayout,,144
android-app-bundle,,188
android-appcompat,,212
android-app-indexing,,99
android-application-class,,68
android-applicationinfo,,97
android-app-links,,59
android-app-signing,,105
android-appwidget,,200
android-architecture-components,,196
android-architecture-lifecycle,,57
android-architecture-navigation,,255
android-arrayadapter,,296
android-assets,,129
android-async-http,,101
android-asynctask,,729
android-attributes,,69
android-audiomanager,,146
android-audiorecord,,107
android-augmented-reality,,109
android-authenticator,,84
android-auto,,105
android-automotive,,100
android-background,,113
android-backup-service,,101
android-beam,,99
android-billing,,122
android-binder,,101
android-binding-adapter,,80
android-biometric,,69
android-biometric-prompt,,105
android-bitmap,,169
android-ble,,105
android-bluetooth,,235
android-bottomappbar,,100
android-bottomnav,,121
android-bottomnavigationview,,90
android-bottomsheetdialog,,101
android-broadcast,,127
android-broadcastreceiver,,172
android-browser,,121
android-build,,202
android-build-flavors,,93
android-build-type,,74
android-bundle,,106
android-button,,236
android-c2dm,,147
android-calendar,,151
android-camera,,646
android-camera2,,219
android-camera-intent,,140
android-camerax,,168
android-canvas,,399
android-cardview,,174
android-checkbox,,125
android-chips,,103
android-collapsingtoolbarlayout,,140
android-color,,99
android-compatibility,,99
android-compose-textfield,,103
android-configchanges,,100
android-connectivitymanager,,100
android-constraintlayout,,271
android-contacts,,231
android-contentprovider,,342
android-contentresolver,,160
android-context,,212
android-contextmenu,,99
android-coordinatorlayout,,171
android-cursor,,144
android-cursoradapter,,120
android-cursorloader,,111
android-customtabs,,56
android-custom-view,,316
android-darkmode,,83
android-dark-theme,,109
android-database,,123
android-databinding,,237
android-date,,108
android-datepicker,,148
android-debug,,111
android-deep-link,,110
android-design-library,,120
androiddesignsupport,,107
android-developer-api,,116
android-development,,68
android-device-monitor,,51
android-dialer,,62
android-dialog,,176
android-dialogfragment,,198
android-diffutils,,104
android-download-manager,,123
android-doze,,104
android-doze-and-standby,,50
android-drawable,,348
android-drawer,,70
android-edittext,,1012
android-elevation,,101
android-emulator,,912
android-enterprise,,71
android-espresso,,280
android-espresso-recorder,,56
android-event,,108
android-external-storage,,158
android-facebook,,119
android-ffmpeg,,124
android-file,,179
android-fileprovider,,137
android-filter,,61
android-filterable,,99
android-fingerprint-api,,114
android-flavors,,80
android-flexboxlayout,,54
android-fonts,,118
android-for-work,,54
android-fragmentactivity,,169
android-fragments,,2610
android-framelayout,,142
android-framework,,100
android-fullscreen,,105
android-fusedlocation,,107
android-gallery,,162
android-geofence,,127
android-gesture,,101
android-glide,,179
android-googleapiclient,,101
android-gps,,151
android-gradle-3.0,,89
android-gradle-plugin,,840
android-graphics,,64
android-graphview,,103
android-gravity,,50
android-gridlayout,,117
android-gridview,,149
android-gui,,95
android-handler,,171
android-handlerthread,,52
android-hardware,,102
android-holo-everywhere,,100
android-homebutton,,111
androidhttpclient,,111
android-ibeacon,,109
android-icons,,104
android-identifiers,,53
android-image,,229
android-imagebutton,,112
android-imageview,,385
android-immersive,,64
android-implicit-intent,,80
android-inapp-purchase,,101
android-inflate,,125
android-input-method,,115
android-inputtype,,99
android-install-apk,,137
android-instant-apps,,127
android-instant-run,,80
android-instrumentation,,122
android-intent,,2146
android-intent-chooser,,75
android-intentservice,,123
android-internal-storage,,103
android-internet,,106
android-ion,,98
android-jetifier,,53
android-jetpack,,397
android-jetpack-compose,,1482
android-jetpack-compose-list,,88
android-jetpack-compose-material3,,98
android-jetpack-compose-text,,101
android-jetpack-datastore,,79
android-jetpack-navigation,,199
android-jobscheduler,,177
android-json,,120
android-junit,,59
android-kernel,,100
android-keypad,,125
android-keystore,,159
android-ksoap2,,121
android-launcher,,134
android-layout,,3596
android-layoutparams,,91
android-layout-weight,,111
android-library,,267
android-lifecycle,,325
android-linearlayout,,400
android-lint,,108
android-listadapter,,54
android-listfragment,,136
android-listview,,970
android-livedata,,265
android-loader,,99
android-loadermanager,,143
android-location,,226
android-log,,53
android-logcat,,158
android-looper,,103
android-lru-cache,,90
android-lvl,,108
android-management-api,,153
android-manifest,,515
android-maps,,164
android-maps-utils,,68
android-maps-v2,,121
android-mapview,,366
android-market-filtering,,65
android-maven-plugin,,99
android-mediacodec,,268
android-mediaplayer,,410
android-mediaprojection,,92
android-mediarecorder,,148
android-mediascanner,,102
android-mediasession,,99
android-memory,,110
android-menu,,191
android-min-sdk,,63
android-module,,88
android-motionlayout,,129
android-multidex,,134
android-music-player,,130
android-mvp,,115
android-mvvm,,149
android-native-library,,69
android-navigation,,224
android-navigation-bar,,99
android-navigation-graph,,122
android-navigationview,,113
android-ndk,,1464
android-ndk-r5,,63
android-nested-fragment,,99
android-nestedscrollview,,155
android-networking,,176
android-night-mode,,70
android-notification-bar,,110
android-notifications,,487
android-number-picker,,70
android-optionsmenu,,114
android-orientation,,147
android-package-managers,,156
android-pageradapter,,107
android-paging,,171
android-paging-3,,140
android-paging-library,,104
android-parser,,91
android-pay,,115
android-pendingintent,,231
android-permissions,,430
android-phone-call,,60
android-picture-in-picture,,52
androidplot,,100
android-popupwindow,,104
android-powermanager,,50
android-preferences,,284
android-print-framework,,60
android-productflavors,,145
android-profiler,,72
android-progressbar,,178
android-proguard,,145
android-push-notification,,102
android-query,,78
android-r8,,120
android-radiobutton,,114
android-radiogroup,,105
android-recents,,87
android-recyclerview,,2205
android-relativelayout,,291
android-remoteview,,91
android-renderscript,,80
android-resolution,,81
android-resources,,287
android-room,,437
android-runonuithread,,100
android-runtime,,102
android-safe-args,,99
android-savedstate,,104
android-screen,,103
android-screen-support,,115
android-scroll,,103
android-scrollbar,,73
android-scrollview,,209
android-sdcard,,212
android-sdk,,75
android-sdk-2.1,android-sdk,103
android-sdk-2.3,android-sdk,132
android-sdk-manager,,111
android-sdk-tools,,161
android-search,,116
android-searchmanager,,99
android-security,,166
android-securityexception,,99
android-seekbar,,111
android-selector,,101
android-sensors,,316
android-service,,746
android-service-binding,,114
android-settings,,110
android-shape,,101
android-shapedrawable,,83
android-sharedpreferences,,120
android-sharing,,111
android-shortcut,,51
android-signing,,68
android-sinch-api,,60
android-sliding,,100
android-sms,,61
android-snackbar,,112
android-softkeyboard,,303
android-source,,551
android-spinner,,251
android-sqlite,,394
android-statusbar,,136
android-storage,,113
android-strictmode,,100
android-studio,,5594
android-studio-2.0,android-studio,119
android-studio-2.1,android-studio,112
android-studio-2.2,android-studio,126
android-studio-2.3,android-studio,120
android-studio-3.0,android-studio,189
android-studio-3.1,android-studio,101
android-studio-3.2,android-studio,75
android-studio-3.3,android-studio,56
android-studio-3.5,android-studio,63
android-studio-3.6,android-studio,52
android-studio-4.0,android-studio,99
android-studio-4.1,android-studio,64
android-studio-arctic-fox,,65
android-studio-bumblebee,,53
android-studio-import,,72
android-styles,,224
android-support-design,,103
android-support-library,,363
android-switch,,104
android-syncadapter,,137
android-tabactivity,,102
android-tabbed-activity,,77
android-tabhost,,287
android-tablayout,,167
android-tablelayout,,140
android-tabs,,148
android-task,,76
android-testing,,236
android-textinputedittext,,118
android-textinputlayout,,194
android-textureview,,52
android-textwatcher,,102
android-theme,,302
android-things,,146
android-thread,,93
android-threading,,57
android-timepicker,,111
android-titlebar,,102
android-toast,,111
android-togglebutton,,102
android-toolbar,,268
android-touch-event,,100
android-transitions,,154
android-tv,,232
android-twitter,,83
android-typeface,,100
android-ui,,162
android-uiautomator,,135
android-usb,,58
android-vectordrawable,,140
android-version,,106
android-vibration,,102
android-video-player,,130
android-videoview,,267
android-view,,455
android-viewbinder,,86
android-viewbinding,,136
androidviewclient,,100
android-viewgroup,,100
android-viewholder,,141
android-viewmodel,,194
android-viewpager,,876
android-viewpager2,android-viewpager,198
android-vision,,100
android-volley,,346
android-wake-lock,,117
android-wallpaper,,99
android-wear-2.0,,110
android-wear-data-api,,110
android-wear-notification,,77
android-webservice,,101
android-websettings,,99
android-webview,,574
android-widget,,450
android-wifi,,360
android-windowmanager,,131
android-wireless,,67
android-workmanager,,253
android-wrap-content,,83
androidx,,421
android-x86,,103
android-xml,,324
android-xmlpullparser,,81
android-youtube-api,,117
ane,,99
anemic-domain-model,,63
angle,,239
anglesharp,,99
angstrom-linux,,99
angular,,23245
angular1.6,angular,99
angular10,angular,233
angular11,angular,226
angular12,angular,223
angular13,angular,189
angular14,angular,124
angular2-animation,angular-animations,65
angular2-aot,angular-aot,122
angular2-changedetection,angular-changedetection,128
angular2-cli,angular-cli,99
angular2-components,angular-components,123
angular2-di,,58
angular2-directives,angular-directive,164
angular2-formbuilder,angular-formbuilder,100
angular2-forms,angular-forms,179
angular2-form-validation,,59
angular2-highcharts,angular-highcharts,104
angular2-http,angular-http,107
angular2-jwt,,78
angular2-material,angular-material,71
angular2-mdl,,51
angular2-meteor,angular-meteor,99
angular2-modules,angular-module,100
angular2-nativescript,nativescript-angular,168
angular2-ngcontent,,70
angular2-ngmodel,angular-ngmodel,101
angular2-observables,,162
angular2-pipe,angular-pipe,101
angular2-router,angular-router,95
angular2-router3,angular-router,83
angular2-routing,angular-routing,321
angular2-services,angular-services,181
angular2-template,angular-template,210
angular2-testing,angular-test,105
angular4-forms,angular-forms,144
angular4-httpclient,angular-httpclient,105
angular4-router,angular-router,106
angular5,angular,503
angular6,angular,609
angular7,angular,556
angular7-router,angular-router,85
angular8,angular,578
angular9,angular,379
angular-activatedroute,,87
angular-animations,,117
angular-aot,,101
angular-bootstrap,,121
angular-calendar,,68
angular-cdk,,167
angular-cdk-drag-drop,,82
angular-cdk-virtual-scroll,,70
angular-changedetection,,130
angular-chart,,101
angular-cli,,575
angular-cli-v6,angular-cli,104
angular-cli-v7,angular-cli,72
angular-compiler,,65
angular-component-router,,63
angular-components,,283
angular-controller,,124
angular-cookies,,83
angular-custom-validators,,52
angular-dart,,163
angular-datatables,,120
angular-decorator,,94
angular-dependency-injection,,75
angular-directive,,215
angular-dom-sanitizer,,87
angular-dynamic-components,,104
angular-e2e,,102
angular-elements,,108
angular-event-emitter,,100
angular-factory,,58
angular-file-upload,,100
angular-filters,,119
angularfire,,133
angularfire2,angularfire,148
angularfire5,angularfire,82
angular-flex-layout,,115
angular-fontawesome,,56
angular-formbuilder,,104
angular-formly,,105
angular-forms,,278
angular-fullstack,,107
angular-google-maps,,105
angular-guards,,98
angular-highcharts,,50
angular-http,,142
angular-httpclient,,164
angular-http-interceptors,,142
angular-hybrid,,63
angular-i18n,,110
angular-ivy,,106
angularjs,,13825
angularjs-1.5,angularjs,89
angularjs-1.6,angularjs,104
angularjs-animation,,89
angularjs-bindings,,58
angularjs-bootstrap,,83
angularjs-compile,,100
angularjs-components,,137
angularjs-controller,,194
angularjs-controlleras,,92
angularjs-digest,,101
angularjs-directive,,847
angularjs-e2e,,109
angularjs-factory,,119
angularjs-filter,,128
angularjs-forms,,100
angularjs-http,,120
angularjs-injector,,99
angularjs-material,,132
angularjs-model,,79
angularjs-module,,99
angularjs-ng-change,,104
angularjs-ng-class,,56
angularjs-ng-click,,170
angularjs-ng-disabled,,77
angularjs-ng-form,,99
angularjs-ng-if,,71
angularjs-ng-include,,113
angularjs-ng-init,,100
angularjs-ng-model,,139
angularjs-ng-options,,110
angularjs-ng-repeat,,508
angularjs-ng-route,,107
angularjs-ng-show,,103
angularjs-ng-transclude,,105
angularjs-nvd3-directives,,69
angularjs-orderby,,102
angularjs-resource,,100
angularjs-rootscope,,102
angularjs-routing,,125
angularjs-scope,,511
angularjs-select,,96
angularjs-select2,,99
angularjs-service,,147
angularjs-templates,,82
angularjs-validation,,99
angularjs-watch,,100
angular-kendo,,88
angular-leaflet-directive,,101
angular-library,,156
angular-lifecycle-hooks,,86
angular-local-storage,,104
angular-loopback,,51
angular-material,,1669
angular-material2,angular-material,225
angular-material-5,angular-material,103
angular-material-6,angular-material,121
angular-material-7,angular-material,106
angular-material-stepper,,99
angular-material-table,,135
angular-meteor,,125
angular-mock,,102
angular-module,,141
angular-moment,,100
angular-ng-if,,187
angular-ngmodel,,194
angular-ngrx-data,,87
angular-ngselect,,113
angular-nvd3,,107
angular-oauth2-oidc,,90
angular-observable,,116
