,issue,PS1,y_PS,y''_PS,ACC_AI_PS
,"Hey, why am unable to use the angular material? If i imports any material module, it gives errors everywhere on my code once i declare any of its components. Just errors everywhere","The sentence """""" If i imports any material module, it gives errors everywhere on my code once i declare any of its components. """""" uses <pattern>it gives errors everywhere</pattern> to indicate that there is something wrong with ""importing any material module"". The answer is YES.",0,0,1
angular,"Hey guys, I got this error "" The pipe 'async' could not be found "" i tried everything, i check that i have the common module imported, any ideia when this error happen besides the missing common module? thanks in advance!","The sentence """""" I got this error "" The pipe 'async' could not be found "" """""" uses <pattern>got this error</pattern> to indicate that there is something wrong with ""The pipe 'async'"". The answer is YES.",0,0,1
angular,"There's a form in the child component, can we give a warning to the user when the form is filled but the user is try to navigate somewhere else? User is clicking on the sidenav in the parent component. A warning like this <unconvertable>.",No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
angular,"I have a challenge that I'd like to get yalls insight. I've received much help from here and I greatly appreciate it. Thanks in advance. I am building a web app for used car dealers. In the used car dealer world, there are many many reports and forms they are required to print. Right now, I am working on the first report: Buyers Guide. The Buyers Guide has some information regarding the vehicle. The gov provides a PDF fillable form here: (no, this is not spam). I'd like to be able to fill out the form with the data from our web app and print out the PDF. I was looking for packages and found this one. The only thing is that we want to store the report somewhere, we don't want the user to have to upload it. Additionally, I guess I just don't know how to set up this package. My question: has anyone ever done this, and if so, how?",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
angular,"Hello, this isn't 100% angular question, I just need to deploy Angular app with nginx alongside and express ejs app but It seems not to work, this is my nginx config : [code].","The sentence """""" but It seems not to work """""" uses <pattern>seems not to VB</pattern> to indicate that there is something wrong with ""deploy Angular app with nginx alongside and express ejs app"". The answer is YES.",0,0,1
angular,"I have a REST endpoint that takes ages to run completely (it validates all active tickets on a user and each validation takes ~500ms) so I decided to output the result of the validation of each ticket. That works just fine, when running the request manually in Chrome I get a steady stream of objects in the browser. But now I want to retrieve that data in our Angular application. Any idea how I can do that? HttpClient doesn't seem to support streaming data from the server.","The sentence """""" HttpClient doesn't seem to support streaming data from the server. """""" uses <pattern>doesn't seem to VB</pattern> to indicate that there is something wrong with ""HttpClient"" in supporting streaming data. The answer is YES.",0,0,1
angular,"I have xml with href to xsl from backend , how can i display this in browser [code]. window.document.write just shows text without styling","The sentence """""" window.document.write just shows text without styling """""" uses <pattern>just shows</pattern> to indicate that there is something wrong with ""window.document.write"". The answer is YES.",0,0,1
angular,"Hey, I have a question concerning Injectable's ProvidedIn. [code] > The @Injectable() decorator specifies that Angular can use this class in the DI system. The metadata, providedIn: 'root', means that the HeroService is visible throughout the application. What if I take that away? I thought I had to pass injectables to a component constructors to be able to use them, I'm unclear about this now",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
angular,I have a problem where the angular material breakpoints are not enough to control the appearance of my app because some mobile phones have much larger resolutions than what the breakpoints associate with handset devices. How can I fix this?,"The sentence """""" I have a problem where the angular material breakpoints are not enough to control the appearance of my app """""" uses <pattern>have a problem where</pattern> to indicate that there is something wrong with ""the angular material breakpoints"". The answer is YES.",0,0,1
angular,"why router.events,subscribe fires multiple times. i cant get only one say NavigationEnd its. I'm sending params through router state, and after navigating i want to execute search only once with params from state how to do this??","The sentence """""" why router.events,subscribe fires multiple times. """""" uses <pattern>VB multiple times</pattern> to indicate that there is something wrong with ""router.events,subscribe"". The answer is YES.",0,0,1
angular,I'm looking for a android mobile app - open source or commerical to search huge pdfs - i found one for IOS but couldn't find one for android. Can anyone suggest me ??? Is there is any software or template or mobile app does this for android,"The sentence """""" but couldn't find one for android """""" uses <pattern>couldn't find</pattern> to indicate that the user is having trouble finding an Android mobile app to search huge PDFs. The answer is YES.",0,0,1
,"Hi Guyz, I am implementing NGRX basic demo but i am getting error in reducer part. any leads?","The sentence """""" I am getting error in reducer part. """""" uses <pattern>getting error in sth</pattern> to indicate that there is something wrong with the ""reducer part"". The answer is YES.",0,0,1
,Hello. Here is my [question] about angular testing example. I will be happy if anyone could answer me :smile:,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
,"Anyone knows why `this.router.navigate(['../../'], { relativeTo: this.activatedRoute })` lands always at root instead of two path segments up? Also: why is this.activatedRoute.url=""""? Oh, I guess I found out - it's bc. it is injected into a service...","The sentence """""" lands always at root instead of two path segments up """""" uses <pattern>lands always at root</pattern> to indicate that there is something wrong with the navigation path. The answer is YES.",1,0,0
angular,"Hello Angular gods, we have an autocomplete on an input (angular app), which makes an api call to our back end, problem is we make a new subscription each time the input change, is there any way to correct this ?","The sentence """""" problem is we make a new subscription each time the input change """""" uses <pattern>problem is S V</pattern> to indicate that there is something wrong with ""making a new subscription each time the input changes"". The answer is YES.",0,0,1
angular,Hi guys i have problem with resolver and guard Should i prefetch data on guard since it the first being called? i have a guard that check if has permission to view a certain element. but when the page reloads data is gone and i need to prefetch the data,"The sentence """""" i have problem with resolver and guard """""" uses <pattern>have problem with sth</pattern> to indicate that there is something wrong with ""resolver and guard"". The answer is YES.",0,0,1
,"Morning! I am having a bit of an issue with a nested component when running tests in a headless browser (and only then) :( I have outlined the issue, with associated code snippets over on Stack Overflow. If anyone has any ideas of what I've done wrong, please steer me in the right direction! Thanks so much :)","The sentence """""" I am having a bit of an issue with a nested component when running tests in a headless browser (and only then) """""" uses <pattern>having a bit of an issue with sth</pattern> to indicate that there is something wrong with ""a nested component when running tests in a headless browser"". The answer is YES.",0,0,1
angular,"I need help with an issue. Basically I have two angular applications where I am including this angular library served as npm package. This library contains components with template files. There are image assets that have been refered to, from the components of library. Image assets are also included in the library project. While building this library, somehow Image assets are not getting included in the final build. Is there any one who can help me with this. I am ready to share more information on this.","The sentence """""" While building this library, somehow Image assets are not getting included in the final build. """""" uses <pattern>not getting included</pattern> to indicate that there is something wrong with ""Image assets in the final build"". The answer is YES.",0,0,1
,"Hi guys, I'm actually looking for some help from Currently I have started working on a new company and just realized that the project's code has so many bad practices, I have just seen that they are using Async ngOnInit() Does anyone of you have some reference that this is a bad practice so I can let them know that this is a bad practice ?",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
angular,"Hi everyone, I am trying to implement a custom input and I get this error: ""NG0201: No provider for DefaultValueAccessor found in. this is how is my component: [code]. any idea?","The sentence """""" I get this error: ""NG0201: No provider for DefaultValueAccessor found in. """""" uses <pattern>get this error</pattern> to indicate that there is an error with ""No provider for DefaultValueAccessor"". The answer is YES.",0,0,1
angular,I'm using .Net Core SPA Angular. I have an external IdentityServer. How do I protect the downloading of the Angular app itself and then provide it an access token to the API after? I've searched for so long for the right answer to this. but I stiiiiiiiiiiiiiiiiiiillll haven't fouuuuuund what I'm looking fooooooor,"The sentence """""" but I stiiiiiiiiiiiiiiiiiiillll haven't fouuuuuund what I'm looking fooooooor """""" uses <pattern>haven't VB</pattern> to indicate that the user is having trouble finding a solution. The answer is YES.",0,0,1
angular,"can someone help me with node.js error. on building npm run serve ERROR Failed to compile with 1 error in Module parse failed: Unexpected token (2413:45) You may need an appropriate loader to handle this file type, currently no loaders are configured to process this file.","The sentence """""" on building npm run serve ERROR Failed to compile with 1 error in Module parse failed: Unexpected token (2413:45) """""" uses <pattern>ERROR Failed to compile</pattern> to indicate that there is a compilation error when building with npm. The answer is YES.",0,0,1
angular,"I have a service that subscribes to an observable. The service is providedBy: 'root'. It should takeUntil service is deystroyed. I get this pattern, but does it make any difference since the singleton is being destroyed, ie. the app is closed?","The sentence """""" I get this pattern, but does it make any difference since the singleton is being destroyed, ie. the app is closed? """""" uses <pattern>does it make any difference</pattern> to indicate that the user is questioning the behavior of the service when the app is closed. The answer is YES.",0,0,1
angular,"Hello everyone, I apologize if this question is asked before, but is there any way I can try **tree-shakable components** out? I have read some articles here: [link] , but I think I need to wait for next release.",No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
angular,"hi all.. it is possible to pass a method/function via *ngTemplateOutlet which can be called in ng-template? if I pass it as context: {myMethod: componentMethod} and call it in ng-template, it doesn't work. how? let me provide an example really quick","The sentence """""" if I pass it as context: {myMethod: componentMethod} and call it in ng-template, it doesn't work. """""" uses <pattern>doesn't work</pattern> to indicate that there is something wrong with ""calling a method in ng-template"". The answer is YES.",0,0,1
angular,"I have another issue: ) so I have module A which has service MyService, I want to be able to override MyService in module B. If I override it (provides: []) in root module, it works. but I cannot override it in module B (and to work for whole application). I have created forRoot in module B that overrides MyService with MyServiceB, but it doesn't work. no actually, it doesnt matter.. it just has to be MyServiceB.. so the one I set to override. let me provide a quick example :)","The sentence """""" I have another issue: ) so I have module A which has service MyService, I want to be able to override MyService in module B. """""" uses <pattern>have another issue</pattern> to indicate that there is something wrong with ""overriding MyService in module B"". The answer is YES.",0,0,1
angular,"Hello, there. I'm facing the following error while trying to navigate to sub-child routes: Refused to apply style from [link] because its MIME type ('text/html') is not a supported stylesheet MIME type, and strict MIME checking is enabled The styles don't apply to the sub-child components. Looking forward to your help.","The sentence """""" I'm facing the following error while trying to navigate to sub-child routes: Refused to apply style from [link] because its MIME type ('text/html') is not a supported stylesheet MIME type, and strict MIME checking is enabled """""" uses <pattern>facing the following error</pattern> to indicate that there is something wrong with ""navigating to sub-child routes"". The answer is YES.",0,0,1
,"I'm having an strange issue. I've imported FormsModule, but for some reason still getting the ""NG8002: Can't bind to 'ngModel' since it isn't a known property of 'input'."" The application is making use of the ModuleFederation concept. Any ideas?","The sentence """""" but for some reason still getting the ""NG8002: Can't bind to 'ngModel' since it isn't a known property of 'input'."" """""" uses <pattern>can't VB</pattern> to indicate that there is something wrong with ""binding to 'ngModel'"". The answer is YES.",0,0,1
angular,"Hello. Is there any way to create multiple components with one line ? [code] instead of my-page, I would like to create my-page, my-page1, my-page2, etc...",No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
angular,"what's purpose of `loadChildren` and `children` ? and how to lazy load child routes. Can you help me ? One example, if I have `investor` feature module, and in that feature module I will have 10 different pages",No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
,how can I know if an update comes with schematics/upgrades/migrations? I don't see anything happening for core/cli/material when updating and I don't see any information anywhere about if they're provided or not. For instance I know that material has changed the import/use SCSS theming but I don't see any migration happening when I install it.... so does it come with one or should I be doing it manually?,"The sentence """""" I don't see anything happening for core/cli/material when updating and I don't see any information anywhere about if they're provided or not. """""" uses <pattern>don't see anything happening</pattern> to indicate that there is something wrong with ""core/cli/material when updating"". The answer is YES.",0,0,1
angular,"I get in response multiple JSON objects like shown below: [code]. At the moment I parse it in this way: [code]. However it is not a perfect solution because when there is a change of order or a field is missing, everything stops working. Do you have any ideas on how this could be done in an optimal way?","The sentence """""" everything stops working """""" uses <pattern>everything stops VBG</pattern> to indicate that there is something wrong with the current parsing solution. The answer is YES.",0,0,1
angular,I have a service that is provided with forRoot(conf) with a specific config in my app.component. I have 5 components in the whole app that use it. How could I change the configuration parameters so that it behaves differently in each component? Example: service notification has a parameter that is the bottom. In component A I want the bottom to be 10px and in the rest of the app I want the bottom to be 50px. Should I change the use of the forRoot? or remove it and provide it in another way?,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
angular,"Hi, I am migrating my ssr app from being built with webpack, to with the cli, and the app builds correctly, but when I try and serve it I get this error: ``` ReferenceError: Document is not defined at [file] ``` I am not sure, but I am guessing this could be the culprit?","The sentence """""" but when I try and serve it I get this error: ``` ReferenceError: Document is not defined at [file] ``` """""" uses <pattern>get this error</pattern> to indicate that there is something wrong with ""serving the app"". The answer is YES.",0,0,1
angular,"Hi everyone, I have some problems while upgrading my appication to latest angular version. After updating all modules, build does not work anymore. The problem seems to be in importing node.js module into project (crypto-js). Thi was done automacitally, now I should somehow configure webpack configuration js file. (?) Any idea? [file] - Warning: Module not found: Error: Can't resolve 'crypto' in [file]. BREAKING CHANGE: webpack < 5 used to include polyfills for node.js core modules by default. This is no longer the case. Verify if you need this module and configure a polyfill for it. If you want to include a polyfill, you need to: [code]","The sentence """""" build does not work anymore. """""" uses <pattern>does not VB anymore</pattern> to indicate that there is something wrong with the ""build"". The answer is YES.",0,0,1
,"Hi everyone, I've got an interceptor that cancel all pending requests when the user changes to other page. All seems ok, but I've got some problems with the translations. That interceptor cancel translations requests too and the translations don't appear. Does anyone know how to tell the interceptor not to act on the first page or when it calls for translations?","The sentence """""" but I've got some problems with the translations """""" uses <pattern>got some problems with sth</pattern> to indicate that there is something wrong with ""the translations"". The answer is YES.",0,0,1
angular,"Hey Guys, Anyone can help me with Datepipe. I have receive a UTC DateTime from API, Now I want to display on page as Local Time Zone. So My Date pipe looks like this [code], my calculation of timeOffset is like [code], but the time is showing incorrect. anything I am doing wrong here?I dont really understand the zone section works. Oh if possible would anyone help me if I want to turn it into UCT +10:00 Sydney time, how would I write the pipe?","The sentence """""" but the time is showing incorrect. """""" uses <pattern>sth is showing incorrect</pattern> to indicate that there is something wrong with ""the time"". The answer is YES.",0,0,1
,"I'm getting a funky issue here wondering if anyone knows what's up. In a .less file I have `z-index: 900`, but after doing an `ng build`, in the compiled .css file it looks like `z-index:#900`, which is of course breaking my page. any thoughts?","The sentence """""" I'm getting a funky issue here """""" uses <pattern>getting a funky issue</pattern> to indicate that there is something wrong with the user's code. The answer is YES.",0,0,1
angular,"Good morning from Spain! I am wondering if anybody has tried using Npm Workspaces in Angular. My project is divided into many libraries in separate repos and it is a pain when you have to work in 2 or 3 dependant libraries at a time and test it in the main SPA, because npm link not always works as expected. I am thinking on creating a workspace project and arrange all the folders inside so I can make changes into any library and have hot-reloading in the main SPA, but I dont know if that is going to work due to the particular structure of the libraries projects in Angular. Any feedback is welcome! Thanks!",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
angular,"Can I ask you a question? I strongly believe that the front end should get the right data without the least manipulation. But the one guy is doing like 4 for loops to get the right data from the frontend. For example, parent order - order - products are the hierarchical level of the raw data. I want to get products level of data as we are showing products on the view. But what a guy is doing is for loop in the frontend doing a lot of manipulation. I want to explain him why this is a bad idea.. but I can't find any resources reliable why this is bad in terms of security, reliability of the data.",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
angular,"I am talking about data manipulation. What I am expecting is getting the correct data from the backend. You can do that by assigning properties right. THen we do not need to use for loop 4 times to assign the data to new array or models. This is a partial code of data manipulation on the client side after the async is finished [code]. this this a lot.. and do the calculation of total by using += // -=.. Single reponsibility, single unit of work. Calculation is done by in the class properties but on the client side, it's doing the same thing. it's against a lot of existing principles such as single reponsibility. If you change the backend you must come to the front end to add the data. that's the flow of how the store works to have a nice effect on the UI. We have an interface or typed model to define which model to show on the UI. But that ugly code has no model at all. dynamically assign it, then you should go to another place to add the field again.",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
angular,"Hi, Really very basic question but wanna know in how many ways we can make it work .... [code] right now it will be definitely throw ""undefined "", but how we can make it work","The sentence """""" right now it will be definitely throw ""undefined"" """""" uses <pattern>will be definitely throw</pattern> to indicate that there is something wrong with the current code. The answer is YES.",0,0,1
,"I just upgraded my angular from version 10 to 12 and I'm now getting this error when compiling: ``` Error: [file] - error TS2344: Type 'K' does not satisfy the constraint 'string'. Type 'number' is not assignable to type 'string'. ``` (also happened on version 11, which I then upgraded to 12 hoping the problem would go away). Not sure why I'm getting this error and no-one else is... :(","The sentence """""" I'm now getting this error when compiling: ``` Error: [file] - error TS2344: Type 'K' does not satisfy the constraint 'string'. Type 'number' is not assignable to type 'string'. ``` """""" uses <pattern>getting this error</pattern> to indicate that there is something wrong with ""compiling"". The answer is YES.",0,0,1
,"has anybody tried styling inline SVGs in angular? I can't set the width to 100% although without angular it works.. without angular: [link], with angular: [link]","The sentence """""" I can't set the width to 100% although without angular it works """""" uses <pattern>can't VB</pattern> to indicate that there is something wrong with ""setting the width to 100%"". The answer is YES.",0,0,1
,"Hi Guys. Have you ever faced this issue, while running tests? I upgrade angular to v12. ""DEPRECATED: DI is instantiating a token ""MockLocationStrategy"" that inherits its @Injectable decorator but does not provide one itself""","The sentence """""" Have you ever faced this issue, while running tests? """""" uses <pattern>faced this issue</pattern> to indicate that there is something wrong with ""running tests"". The answer is YES.",0,0,1
angular,"Hi everyone, I am back again! Any thoughts on having one large observable vs several small observables, and consequently more injections? Does it make a difference? And one more question: I have a Observable<Basic[]> observable, wherefrom I only want only a few elements to be put for a transformed Observable<Assistantservices[]> observable, but WITHOUT SUBSCRIBING. So basically [code] is the basic obs, and I want to assign the new obs transformed from basic.data to [code]. Thank you!",No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
angular,"hi! I just updated to v12 and noticed that js files copied via the ""assets"" section in angular.json are now compressed/mangled. is there any way to prevent this? I tried with ""exclude"" section in the terser plugin config (I have a custom webpack config in place already), but it didn't help (maybe I just did it wrong?). I only found [link] where it says that it should be actually exactly like I need it (aka no compressing, mangling whatsoever)? I am a bit confused about this. this also didn't happen with v11 :/","The sentence """""" I just updated to v12 and noticed that js files copied via the ""assets"" section in angular.json are now compressed/mangled. """""" uses <pattern>noticed that sth are now VBN</pattern> to indicate that there is something wrong with ""js files copied via the 'assets' section in angular.json"". The answer is YES.",0,0,1
,"Hello guys, I have upgraded my project from Angular 5 to Angular 10. I am getting this error `Angular JIT compilation failed: '@angular/compiler' not loaded!` @ViewChild('element') will it give me above error. Angular JIT compilation failed error??","The sentence """""" I am getting this error `Angular JIT compilation failed: '@angular/compiler' not loaded!` """""" uses <pattern>getting this error</pattern> to indicate that there is something wrong with ""Angular JIT compilation"". The answer is YES.",0,0,1
,"Hello everyone, I'm using monorepo with yarn workspaces and lerna. Problem is when i include any code except interface definition from sibling package to angular i get the error: `TypeError: (0 , _rh_index_lib__WEBPACK_IMPORTED_MODULE_1__.indexId) is not a function` Angular package.json: [code]. Any tips on what am I missing?","The sentence """""" Problem is when i include any code except interface definition from sibling package to angular i get the error: `TypeError: (0 , _rh_index_lib__WEBPACK_IMPORTED_MODULE_1__.indexId) is not a function` """""" uses <pattern>Problem is when S V O</pattern> to indicate that there is something wrong with ""including any code except interface definition from sibling package to angular"". The answer is YES.",0,0,1
angular,"I figured its because i use `""main"": ""src/index.ts""` in libarary package instead of compiled version `""main"":""dist/index.js""`, but this requires recompile on each library change, is there any way i can get away with still using `src/index.ts`?",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
angular,"Hi, I am looking for maps for my angular app (particularly a free one), any better alternatives to google maps - Usage - jus want to display the markers of few places where my images are taken... Any views will be really grateful",No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
angular,"can someone guide me through these steps or atleast provide me with tutorials,im really struggling to find solutions for these (Angular) On the top of the players table, you should have a Filter menu which will be used to filter the players (show only the filtered). The filter should contain: a One input field to filter by full name a Select Dropdown to filter by position C, F or G a Sorting by first name: [ascending, descending]",No sentences found to indicate the error or undesired behavior. The answer is NO.,0,1,0
,[link] i got problems searching the data displayed from the API can anyone help me with it? all files are included there,"The sentence """""" i got problems searching the data displayed from the API """""" uses <pattern>got problems VBG</pattern> to indicate that there is something wrong with ""searching the data displayed from the API"". The answer is YES.",0,0,1
,"Hey, I have a question concerning a custom error handler. I can't pinpoint when it broke because it's a big project, but as of today, error objects arrive like this, rather than having a nice and interactable stacktrace: ``` ""Error: SEARCH_ALREADY_RUNNING_EXCEPTION at DevicesService.startSearch ``` Can anyone tell me how to fix this?","The sentence """""" I can't pinpoint when it broke because it's a big project, but as of today, error objects arrive like this, rather than having a nice and interactable stacktrace """""" uses <pattern>can't pinpoint when it broke</pattern> to indicate that there is something wrong with ""error objects"". The answer is YES.",0,0,1
,Hi Any idea why the auto focus is coming in angular material menu [code].,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
,is it worth making a pull request for a 1-character documentation formatting fix?,No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
,"Could someone give me an example on stackblitz (or any other platform) how I can make source maps of a compiled angular library work in the consumer application? I enabled sourceMap's vendor property to true, but still no luck. I can see that ng packagr generates the source maps, but so far, in the consumer application, chrome's devtools cannot find it","The sentence """""" chrome's devtools cannot find it """""" uses <pattern>cannot find</pattern> to indicate that there is something wrong with ""chrome's devtools"". The answer is YES.",0,0,1
angular,"I don't want to directly include the public-api of the library in the tsconfig, I would prefer keep things as they are naturally, therefore path points to the dist folder where the library has been packaged using ng packagr. Or is there any other suggestion? I could not find any relevant information in the docs","The sentence """""" I could not find any relevant information in the docs """""" uses <pattern>could not find</pattern> to indicate that the user is having trouble finding relevant information in the documentation. The answer is YES.",0,0,1
angular,"I've got a strange problem with the http client. My API is returning the correct data but the http.get response has almost all of the properties set to null. I'm not even sure where to start troubleshooting this. When I say the API is returning the correct response I mean I look a the network tab in the chrome dev tools and the response there is correct (i.e. the properties have the expected values) but when I look at the response in the subscribed observable (by putting a breakpoint in the code in the dev tools), most of the properties are null. the API is returning a 200 response so no error handing interceptor is getting in the way. I'm not sure where where to even look next.","The sentence """""" I've got a strange problem with the http client. """""" uses <pattern>got a problem with</pattern> to indicate that there is something wrong with ""the http client"". The answer is YES.",0,0,1
angular,"i am facing this error how to solve it ,The serve command requires to be run in an Angular project, but a project definition could not be found. please let me anybody guys The serve command requires to be run in an Angular project, but a project definition could not be found","The sentence """""" The serve command requires to be run in an Angular project, but a project definition could not be found. """""" uses <pattern>could not be found</pattern> to indicate that there is something wrong with ""project definition"". The answer is YES.",0,0,1
angular,"Hi. I need to have my main angular application open an existing, 2nd angular application in a new browser tab for editing specific content. When finished and returning to the main application, it needs to refresh its state from the server. What is a good architecture to notify from the editing app to the main app that a refresh needs to be made? Would local storage notifications work? Or service workers?",No sentences found to indicate the error or undesired behavior. The answer is NO.,1,1,1
